Name, EA,formula
Isopropyl radical,-0.320000,C3H7
Cyclobutyl radical,-0.317000,C4H7
Cyclopentyl radical,-0.269000,C5H9
Ethyl radical,-0.263000,C2H5
PtCl4 dianion,-0.250000,Cl4Pt-2
"1,3-Diazine",-0.250000,C4H4N2
Cyclohexyl radical,-0.243000,C6H11
Naphthalene,-0.200000,C10H8
Tert-butyl radical,-0.162000,C4H9
cycloheptanide anion,-0.156000,C7H13-
Au21 dianion,-0.140000,Au21-2
2-Butyl radical,-0.129000,C4H9
CH2N(CH3)2,-0.118000,C3H8N
n-Propyl radical,-0.065000,C3H7
Pyrazine,-0.065000,C4H4N2
PtBr4 dianion,-0.040000,Br4Pt-2
"Methyl radical, methoxy-",-0.017000,C2H5O
Phenanthrene,-0.010000,C14H10
Acetaldehyde,0.000000,C2H4O
"Propanal, 2,2-dimethyl-",0.001000,C5H10O
Butanal,0.001000,C4H8O
Cyclobutanone,0.001000,C4H6O
Propanal,0.001000,C3H6O
2-Butanone,0.001000,C4H8O
p-Xylene,0.002000,C8H10
Acetone,0.002000,C3H6O
"Butanal, 2-ethyl-",0.002000,C6H12O
Hydrogen cyanide,0.002000,CHN
Cyclopentanone,0.002000,C5H8O
"Benzene, (trifluoromethyl)-",0.002000,C7H5F3
"Cyclopentanone, 2-methyl-",0.002000,C6H10O
Acetone-D6,0.003000,C3D6O
"Cyclopentanone, 3-methyl-",0.003000,C6H10O
Cyclohexanone,0.003000,C6H10O
Indole,0.004000,C8H7N
"Cyclohexanone, 2-methyl-",0.004000,C7H12O
Er anion,0.005000,Er-
Ho anion,0.005000,Ho-
"Cyclohexanone, 4-methyl-",0.006000,C7H12O
Methylacrylonitrile,0.006000,C4H5N
2-Propenenitrile,0.007000,C3H3N
Dimethyl Sulfoxide,0.007000,C2H6OS
"1,3-Butanediol",0.008000,C4H10O2
"Cyclohexanone, 3-methyl-",0.009000,C7H12O
HCONH2..HCONMe2 radical anion,0.010000,C4H10N2O2-
Yb anion,0.010000,Yb-
[2H3]acetonitrile,0.011000,C2D3N
Acetonitrile,0.011000,C2H3N
(HCONH2)2 radical anion,0.012000,C2H6N2O2-
"Butanenitrile, 3-methyl-",0.012000,C5H9N
Isobutyronitrile,0.012000,C4H7N
Pyridazine,0.012000,C4H4N2
Adenine,0.012000,C5H5N5
"Sulfoxide, ethyl methyl",0.012000,C3H8OS
Pentanenitrile,0.013000,C5H9N
"Propanenitrile, 2,2-dimethyl-",0.013000,C5H9N
2-Methylbutanenitrile radical,0.013000,C5H9N
"1,3,2-Dioxathiolane, 2-oxide",0.013000,C2H4O3S
"Formamide, N,N-dimethyl-",0.014000,C3H7NO
Dy anion,0.015000,Dy-
Propanenitrile,0.015000,C3H5N
"Formamide, N-methyl-",0.016000,C2H5NO
Butanenitrile,0.016000,C4H7N
Formamide,0.017000,CH3NO
"Thiophene, tetrahydro-, 1-oxide",0.018000,C4H8OS
C70 dianion,0.020000,C70-2
MeN radical,0.022000,CH3N
calcium,0.025000,Ca
Ar..pyrazine radical anion,0.025000,C4H4ArN2-
Nitric oxide anion,0.026000,NO-
BD3 radical,0.027000,BD3
H2O..naphthalene radical anion,0.030000,C10H10O-
benzene..naphthalene radical anion,0.030000,C16H14-
Borane,0.038000,BH3
"2,4(1H,3H)-Pyrimidinedione, 1,3-dimethyl-",0.040000,C6H8N2O2
1-Methylthymine,0.045000,C6H8N2O2
"Benzene, 1,2,4,5-tetramethyl-",0.048000,C10H14
"2,2'-Bithiophene",0.049000,C8H6S2
Sm anion,0.050000,Sm-
(H2O)2 radical anion,0.050000,H4O2-
Isobutyl radical,0.052000,C4H9
strontium,0.052000,Sr
(Ar)2..pyrazine radical anion,0.058000,C4H4Ar2N2-
(HF)2 radical anion,0.063000,F2H2-
Thymine,0.069000,C5H6N2O2
Ru6C(CO)9 dianion,0.080000,C10O9Ru6-2
Methyl radical,0.080000,CH3
Ar..NO anion,0.084000,ArNO-
Uracil,0.086000,C4H4N2O2
titanium,0.087000,Ti
But-3-en-1-yl radical,0.091000,C4H7
(Ar)3..pyrazine radical anion,0.092000,C4H4Ar3N2-
"Benzene, 1,2-dichloro-",0.094000,C6H4Cl2
Difluorosilylene,0.100000,F2Si
"Ethene, 1,1-dichloro-",0.100000,C2H2Cl2
Hf anion,0.100000,Hf-
Gd anion,0.100000,Gd-
Kr..uracil radical anion,0.101000,C4H4KrN2O2-
"(2,2'-bis(thiophene))2 radical anion",0.108000,C16H12S4-
Butanedinitrile,0.108000,C4H4N2
"Benzene, 1,2,3,5-tetramethyl-",0.108000,C10H14
(naphthalene)2 radical anion,0.110000,C20H16-
"Methane, iodo-",0.110000,CH3I
Xe..uracil radical anion,0.111000,C4H4N2O2Xe-
C60O3 anion,0.121000,C60O3-
"Benzene, hexamethyl-",0.121000,C12H18
Kr..NO anion,0.125000,KrNO-
(Ar)4..pyrazine radical anion,0.125000,C4H4Ar4N2-
(H2O)3 radical anion,0.130000,H6O3-
(biphenyl)2 radical anion,0.130000,C24H20-
Biphenyl,0.130000,C12H10
adamantan-1-ide anion,0.143000,C10H15-
"Naphthalene, 2-methyl-",0.143000,C11H10
barium,0.145000,Ba
"Naphthalene, 1-ethyl-",0.147000,C12H12
(Ar)2..NO anion,0.150000,Ar2NO-
"Acetic acid, phenylmethyl ester",0.150000,C9H10O2
iron,0.151000,Fe
(Ar)5..pyrazine radical anion,0.152000,C4H4Ar5N2-
cPrCH2 anion,0.156000,C4H7-
Diphenylmethane,0.156000,C13H12
"Naphthalene, 2,6-dimethyl-",0.160000,C12H12
"Naphthalene, 1-methyl-",0.160000,C11H10
"Methane, nitro-",0.172000,CH3NO2
"Naphthalene, 2,3-dimethyl-",0.173000,C12H12
Indene,0.173000,C9H8
(Ar)6..pyrazine radical anion,0.177000,C4H4Ar6N2-
(benzene)2Ti anion,0.180000,C12H12Ti-
"Methylene, difluoro-",0.180000,CF2
"Benzoic acid, methyl ester",0.180000,C8H8O2
"Benzene, pentamethyl-",0.182000,C11H16
scandium,0.189000,Sc
EtNO2 radical anion,0.191000,C2H5NO2-
Xe..NO anion,0.193000,NOXe-
"Naphthalene, 2-ethyl-",0.195000,C12H12
"1,2-O2C-C6H4-CO2 dianion",0.200000,C8H4O4-2
(benzene)2..naphthalene radical anion,0.200000,C22H20-
Au23,0.200000,Au23
(Ar)7..pyrazine radical anion,0.204000,C4H4Ar7N2-
Carbon monosulfide,0.205000,CS
(Ar)3..NO anion,0.208000,Ar3NO-
"1,3-O2C-C6H4-CO2 dianion",0.210000,C8H4O4-2
Cu(NCS)2 anion,0.213000,C2CuN2S2-
"2,3,5,6-Tetrafluoroanisole",0.217000,C7H4F4O
CH2=CHCH(NMe2) anion,0.219000,C5H10N-
Nitrous oxide,0.220000,N2O
Me2CO..naphthalene radical anion,0.220000,C13H14O-
CH2=CHC(Me)2CH2 anion,0.221000,C6H11-
LiO anion,0.221000,LiO-
nPrNO2 radical anion,0.223000,C3H7NO2-
Neopentyl radical,0.225000,C5H11
"Disulfide, dimethyl",0.230000,C2H6S2
Cytosine,0.230000,C4H5N3O
Potassium fluoride,0.230000,FK
(Ar)8..pyrazine radical anion,0.231000,C4H4Ar8N2-
"Cyclobutene, hexafluoro-",0.237000,C4F6
cyclobuten-3-ide anion,0.240000,C4H5-
nBuNO2 radical anion,0.240000,C4H9NO2-
(HF)3 radical anion,0.240000,F3H3-
nitro(2H3)methane,0.240000,CD3NO2
"Naphthalene, 1,4-dimethyl-",0.247000,C12H12
N2O..NO anion,0.248000,N3O2-
(KI)4 radical anion,0.250000,I4K4-
benzene..pyrazine radical anion,0.250000,C10H10N2-
Na2CS2,0.250000,CNaS2
Fluoromethyl radical,0.252000,CH2F
CH2=CHCH(OMe) anion,0.255000,C4H7O-
Benzonitrile,0.256000,C7H5N
(Ar)9..pyrazine radical anion,0.257000,C4H4Ar9N2-
V2 anion,0.260000,V2-
(Ar)4..NO anion,0.265000,Ar4NO-
H2S..NO anion,0.268000,H2NOS-
CsO radical anion,0.273000,CsO-
"Naphthalene, 1-chloro-",0.277000,C10H7Cl
Fluorene,0.278000,C13H10
boron,0.280000,B
(naphthalene)3 radical anion,0.280000,C30H24-
(biphenyl)3 radical anion,0.280000,C36H30-
(m-terphenyl)2 radical anion,0.280000,C36H28-
mF-C6H4CH2OPh radical,0.282000,C13H11FO
(Ar)10..pyrazine radical anion,0.282000,C4H4Ar10N2-
Triphenylene,0.285000,C18H12
H2O..adenine radical anion,0.290000,C5H7N5O-
H2O..thymine radical anion,0.300000,C5H8N2O3-
O2CCðCCO2 dianion,0.300000,C4O4-2
Borane(1),0.300000,BH
CeI2 radical,0.300000,CeI2
"Acetonitrile, trichloro-",0.300000,C2Cl3N
WOF3 radical,0.300000,F3OW
cerium triiodide,0.300000,CeI3
"1,3,5-Triphenylbenzene radical anion",0.300000,C24H18-
(acenaphthene)4 radical anion,0.300000,C48H40-
AlH3 radical anion,0.300000,AlH3-
"Methyl-d1 radical, oxo-",0.301000,CDO
yttrium,0.308000,Y
Fe(SC(CN)=C(CN)S)2 dianion,0.310000,C8FeN4S4-2
NH3..Na2 radical anion,0.310000,H3NNa2-
Formyl radical,0.313000,CHO
H2O..cytosine radical anion,0.320000,C4H7N3O2-
(Ar)5..NO anion,0.320000,Ar5NO-
Chrysene,0.320000,C18H12
"Bicyclo[4.2.0]octa-1,3,5,7-tetraene",0.321000,C8H6
Diphenylacetylene,0.321000,C14H10
CeI radical,0.321000,CeI
tantalum,0.323000,Ta
C76 dianion,0.325000,C76-2
Ps,0.327000,PS
(o-terphenyl)2 radical anion,0.330000,C36H28-
Boron trichloride,0.330000,BCl3
Nitrosyl hydride-d1,0.330000,DNO
Acetophenone,0.334000,C8H8O
lithium (2H)hydride,0.337000,DLi
Nitrosyl hydride,0.338000,HNO
"Benzene, 1,3,5-trichloro-",0.340000,C6H3Cl3
H2O..uracil radical anion,0.340000,C4H6N2O3-
lutetium,0.340000,Lu
lithium hydride,0.342000,HLi
Bicyclo[1.1.0]but-1(3)-ene,0.347000,C4H4
H2O..O2C(CH2)2CO2 dianion,0.350000,C4H6O5-2
LaO4 radical anion,0.350000,LaO4-
(H2O)4 radical anion,0.350000,H8O4-
(C6H6)3V2 anion,0.350000,C18H18V2-
CF3CH2CH2 anion,0.351000,C3H4F3-
PhCH2CH2 anion,0.351000,C8H9-
"1-Propanone, 1-phenyl-",0.351000,C9H10O
(acenaphthene)5 radical anion,0.360000,C60H50-
Au22,0.360000,Au22
(Xe)2..NO anion,0.363000,NOXe2-
lead,0.365000,Pb
(NH3)2..Na2 radical anion,0.370000,H6N2Na2-
Ru6(CO)10 dianion,0.370000,C10O10Ru6-2
Imidogen,0.370000,HN
(Ar)6..NO anion,0.372000,Ar6NO-
"Benzaldehyde, 4-methyl-",0.373000,C8H8O
2-Methylcyclopropyl,0.373000,C4H7
CH2=CDCH2 anion,0.373000,C3H4D5-
thallium,0.377000,Tl
(H2O)2..naphthalene radical anion,0.380000,C10H12O2-
Nb3 radical,0.380000,Nb3
indium,0.384000,In
BH2 anion,0.387000,BH2-
p-Terphenyl radical anion,0.390000,C18H14-
(E)-Stilbene,0.390000,C14H12
Ru6C(CO)10 dianion,0.390000,C11O10Ru6-2
Ru6(CO)11 dianion,0.390000,C11O11Ru6-2
Benz[a]anthracene,0.390000,C18H12
"Ethylene, 1,1-diphenyl-",0.390000,C14H12
"Ethanone, 1-(4-fluorophenyl)-",0.395000,C8H7FO
Dichlorodifluoromethane,0.399000,CCl2F2
(H2O)3..SO4 dianion,0.400000,H6O7S-2
(NH3)6..Na radical anion,0.400000,H18N6Na-
(NH3)7..Na radical anion,0.400000,H21N7Na-
(benzene)4Ti2 anion,0.400000,C24H24Ti2-
VF2 radical,0.400000,F2V
"Pyridine, 2,3,5,6-tetrafluoro-",0.400000,C5HF4N
Trichloroethylene,0.400000,C2HCl3
Thymidine,0.400000,C10H14N2O5
Acenaphthylene,0.403000,C12H8
Pyrene,0.406000,C16H10
"Benzaldehyde, 3-methyl-",0.408000,C8H8O
Co(SC(CN)=C(CN)S)2 dianion,0.410000,C8CoN4S4-2
(H2O)2..adenine radical anion,0.410000,C5H9N5O2-
(H2O)5 radical anion,0.410000,H10O5-
(NH3)3..Na radical anion,0.410000,H9N3Na-
(NH3)5..Na radical anion,0.410000,H15N5Na-
(Ar)7..NO anion,0.410000,Ar7NO-
(pyrazine)2 radical anion,0.410000,C8H8N4-
(NH3)10..Li anion,0.410000,H30LiN10-
Fullerene-C84,0.410000,C84
(N2H7+) dianion,0.415000,H7N2-2
CH2DCO anion,0.418000,C2H2D3O-
(NH3)4..Na radical anion,0.420000,H12N4Na-
Benzo[ghi]perylene,0.420000,C22H12
(acenaphthene)7 radical anion,0.420000,C84H70-
cyclooctatetraene..Cr(CO)3 anion,0.421000,C11H8CrO3-
Acetyl radical,0.423000,C2H3O
(N3H10+) dianion,0.424000,H10N3-2
zirconium,0.427000,Zr
(N4H13+) dianion,0.427000,H13N4-2
Benzaldehyde,0.429000,C7H6O
"Benzaldehyde, 3-methoxy-",0.429000,C8H8O2
NH3..Na radical anion,0.430000,H3NNa-
Disodium,0.430000,Na2
gallium,0.430000,Ga
CH2=C(CH2)2 radical,0.431000,C4H6
Dimethyl amidogen,0.432000,C2H6N
"Benzene, pentafluoro-",0.434000,C6HF5
Aluminum,0.434000,Al
(N5H16+) dianion,0.434000,H16N5-2
Et(Me)N anion,0.434000,C3H8N-
(N7H22+) dianion,0.438000,H22N7-2
CuD,0.439000,CuD
benzene..NO radical anion,0.440000,C6H6NO-
Ni(SC(CN)=C(CN)S)2 dianion,0.440000,C8N4NiS4-2
o-Fluoroacetophenone,0.442000,C8H7FO
"Benzaldehyde, 2,4,6-trimethyl-",0.442000,C10H12O
"2-Propanone, 1,1,1,3,3,3-hexafluoro-",0.442000,C3F6O
(N6H19+) dianion,0.443000,H19N6-2
Copper monohydride,0.444000,CuH
MnH2,0.444000,H2Mn
CH2=C,0.447000,C2H2
(Ar)8..NO anion,0.448000,Ar8NO-
Oxygen,0.448000,O2
(NH3)5..Li anion,0.450000,H15LiN5-
"1,3,5-Triazine",0.450000,C3H3N3
"Benzene, 1,2,4,5-tetrachloro-",0.450000,C6H2Cl4
Al9Cs3 anion,0.450000,Al9Cs3-
caesium chloride,0.455000,ClCs
(benzene)Fe anion,0.460000,C6H6Fe-
(acenaphthene)6 radical anion,0.460000,C72H60-
ReCl6 dianion,0.460000,Cl6Re-2
OsCl6 dianion,0.460000,Cl6Os-2
Pt(SC(CN)=C(CN)S)2 dianion,0.460000,C8N4PtS4-2
Si3O4,0.460000,O4Si3
Carbonyl sulfide,0.461000,COS
CD2=CDCD2 anion,0.464000,C3D5-
Potassium sodide,0.465000,KNa
Thioformaldehyde,0.465000,CH2S
MnD2,0.465000,D2Mn
3-Cyclohexenyl radical,0.466000,C6H9
Cesium dimer,0.469000,Cs2
(toluene)33 radical anion,0.470000,C231H264-
H2O..pyrazine radical anion,0.470000,C4H6N2O-
(NH3)9..Li anion,0.470000,H27LiN9-
Coronene,0.470000,C24H12
lanthanum,0.470000,La
2-Me-anthracene radical anion,0.470000,C15H12-
"Cesium, compound with potassium (1:1)",0.471000,CsK
Cesium,0.472000,Cs
(NH4+) dianion,0.472000,H4N-2
(benzene)53 radical anion,0.473000,C318H318-
"Cesium, compound with rubidium (1:1)",0.478000,CsRb
(H2O)6 radical anion,0.480000,H12O6-
(H2O)3..7-aza-indole radical anion,0.480000,C7H12N2O3-
