Name, EA,formula,nAT,nSK,nH,nC,nN,nO,nP,nS,nF,nCl,nBr,nB,nHet,nX,H%,C%,N%,O%,X%,MW,AMW,Mp,Mi,Si,Se,Sr,H/C,Sp,Mv,Me,IDK,HDI
Isopropyl radical,-0.32,C3H7,10,3,7,3,0,0,0,0,0,0,0,0,0,0,0.7,0.3,0.0,0.0,0.0,43.089,4.3088999999999995,6.544977,12.8969906197914,128.96990619791399,23.05,-290.0,2.3333333333333335,65.44977,-29.0,2.305,0.5,-0.5
Cyclobutyl radical,-0.317,C4H7,11,4,7,4,0,0,0,0,0,0,0,0,0,0,0.6363636363636364,0.36363636363636365,0.0,0.0,0.0,55.099999999999994,5.009090909090909,6.977251818181818,12.748199472537635,140.230194197914,25.6,-298.0,1.75,76.74977,-27.09090909090909,2.3272727272727276,0.5,0.5
Cyclopentyl radical,-0.269,C5H9,14,5,9,5,0,0,0,0,0,0,0,0,0,0,0.6428571428571429,0.35714285714285715,0.0,0.0,0.0,69.127,4.937642857142857,6.933142142857142,12.763382242665571,178.687351397318,32.55,-382.0,1.8,97.06398999999999,-27.285714285714285,2.3249999999999997,0.5,0.5
Ethyl radical,-0.263,C2H5,7,2,5,2,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,29.061999999999998,4.151714285714285,6.447935714285714,12.930392714072857,90.51274899851,16.1,-206.0,2.5,45.13555,-29.428571428571427,2.3000000000000003,0.5,-0.5
PtCl4 dianion,-0.25,Cl4Pt-2,5,5,0,0,0,0,0,0,0,4,0,0,5,4,0.0,0.0,0.0,0.0,0.8,336.884,67.3768,21.28,12.1658724,60.829361999999996,14.84,784.0,0.0,106.4,156.8,2.968,0.5,-2.0
"1,3-Diazine",-0.25,C4H4N2,10,6,4,4,2,0,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.0,0.0,80.09,8.009,7.802844,12.850315039880801,128.503150398808,25.08,108.0,1.0,78.02844,10.8,2.508,0.3333333333333333,4.0
Cyclohexyl radical,-0.243,C6H11,17,6,11,6,0,0,0,0,0,0,0,0,0,0,0.6470588235294118,0.35294117647058826,0.0,0.0,0.0,83.154,4.891411764705882,6.9046005882352945,12.77320638804247,217.14450859672198,39.5,-466.0,1.8333333333333333,117.37821000000001,-27.41176470588235,2.323529411764706,0.5,0.5
Naphthalene,-0.2,C10H8,18,10,8,10,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,128.17399999999998,7.120777777777777,8.280937777777778,12.299464266534223,221.390356797616,43.1,-384.0,0.8,149.05688,-21.333333333333332,2.3944444444444444,0.5,6.0
Tert-butyl radical,-0.162,C4H9,13,4,9,4,0,0,0,0,0,0,0,0,0,0,0.6923076923076923,0.3076923076923077,0.0,0.0,0.0,57.116,4.393538461538461,6.597230000000001,12.879004876716769,167.427063397318,30.0,-374.0,2.25,85.76399,-28.76923076923077,2.3076923076923075,0.5,-0.5
cycloheptanide anion,-0.156,C7H13-,20,7,13,7,0,0,0,0,0,0,0,0,0,0,0.65,0.35,0.0,0.0,0.0,97.181,4.85905,6.8846215,12.7800832898063,255.60166579612599,46.45,-550.0,1.8571428571428572,137.69243,-27.5,2.3225000000000002,0.5,0.5
Au21 dianion,-0.14,Au21-2,21,21,0,0,0,0,0,0,0,0,0,0,21,0,0.0,0.0,0.0,0.0,0.0,4136.29797,196.96657,36.0,9.225554,193.736634,50.4,2877.0,0.0,756.0,137.0,2.4,1.0,0.0
2-Butyl radical,-0.129,C4H9,13,4,9,4,0,0,0,0,0,0,0,0,0,0,0.6923076923076923,0.3076923076923077,0.0,0.0,0.0,57.116,4.393538461538461,6.597230000000001,12.879004876716769,167.427063397318,30.0,-374.0,2.25,85.76399,-28.76923076923077,2.3076923076923075,0.5,-0.5
CH2N(CH3)2,-0.118,C3H8N,12,4,8,3,1,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.25,0.08333333333333333,0.0,0.0,58.104,4.842,6.446406666666667,13.091872566467998,157.10247079761598,28.29,-182.0,2.6666666666666665,77.35688,-15.166666666666666,2.3575,0.3333333333333333,0.0
n-Propyl radical,-0.065,C3H7,10,3,7,3,0,0,0,0,0,0,0,0,0,0,0.7,0.3,0.0,0.0,0.0,43.089,4.3088999999999995,6.544977,12.8969906197914,128.96990619791399,23.05,-290.0,2.3333333333333335,65.44977,-29.0,2.305,0.5,-0.5
Pyrazine,-0.065,C4H4N2,10,6,4,4,2,0,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.0,0.0,80.09,8.009,7.802844,12.850315039880801,128.503150398808,25.08,108.0,1.0,78.02844,10.8,2.508,0.3333333333333333,4.0
PtBr4 dianion,-0.04,Br4Pt-2,5,5,0,0,0,0,0,0,0,0,4,0,5,4,0.0,0.0,0.0,0.0,0.8,514.7,102.94000000000001,26.4,11.242814,56.21407,14.04,844.0,0.0,132.0,168.8,2.808,0.5,-2.0
